transaction_id,timestamp
98875074,2021-04-09T07:09:45
98665263,2021-04-08T21:33:29
98659674,2021-04-08T21:19:16
98587805,2021-04-08T18:07:32
98541515,2021-04-08T16:10:36
98090649,2021-04-07T19:54:17
97818593,2021-04-07T03:43:49
97797898,2021-04-07T02:06:40
98875074,2021-04-09T07:09:45
106821289,2021-04-10T09:09:02.119377
106619164,2021-04-10T04:09:54.546761
106821289,2021-04-10T09:09:02.119377
106619164,2021-04-10T04:09:54.546761
106821289,2021-04-10T09:09:02.119377
106619164,2021-04-10T04:09:54.546761
106821289,2021-04-10T09:09:02.119377
106619164,2021-04-10T04:09:54.546761
106821289,2021-04-10T09:09:02.119377
106619164,2021-04-10T04:09:54.546761
transaction_id,timestamp

106821289,2021-04-10T09:09:02.119377
106619164,2021-04-10T04:09:54.546761
106592597,2021-04-10T03:34:34.685942
106557613,2021-04-10T02:35:18.063746
106408728,2021-04-09T22:25:47.259465
100021131,2021-04-11T14:01:26
